Stock Symbol,Delivery to Trade Percentage,Date,High Delivery
AARTIDRUGS,47.52,2024-09-06,No
AARTIIND,55.19,2024-09-06,No
AARTIPHARM,48.73,2024-09-06,No
AARTISURF,59.71,2024-09-06,No
ABB,53.96,2024-09-06,No
ACC,54.84,2024-09-06,No
AFFLE,38.08,2024-09-06,No
ALKYLAMINE,34.34,2024-09-06,No
ANGELONE,43.45,2024-09-06,Yes
ASAHIINDIA,33.85,2024-09-06,No
ASHOKLEY,49.77,2024-09-06,No
ASIANPAINT,60.96,2024-09-06,No
ASTRAL,48.8,2024-09-06,No
AXISBANK,67.28,2024-09-06,No
BAJAJ-AUTO,54.97,2024-09-06,No
BAJAJELEC,37.79,2024-09-06,No
BAJAJFINSV,42.33,2024-09-06,No
BAJFINANCE,51.87,2024-09-06,No
BALAMINES,34.96,2024-09-06,No
BATAINDIA,54.71,2024-09-06,No
BEL,49.42,2024-09-06,No
BERGEPAINT,43.96,2024-09-06,No
BHARTIARTL,54.08,2024-09-06,No
BOROLTD,65.7,2024-09-06,Yes
BRITANNIA,50.48,2024-09-06,No
BSE,50.44,2024-09-06,No
CAMPUS,39.04,2024-09-06,No
CAMS,45.07,2024-09-06,No
CDSL,45.05,2024-09-06,No
CENTUM,45.29,2024-09-06,No
CGPOWER,56.77,2024-09-06,No
COCHINSHIP,38.52,2024-09-06,No
COFORGE,28.55,2024-09-06,No
CONCOR,63.55,2024-09-06,No
CYIENT,48.11,2024-09-06,No
DABUR,46.96,2024-09-06,No
DEEPAKNTR,23.53,2024-09-06,No
DIVISLAB,55.63,2024-09-06,No
DIXON,35.9,2024-09-06,No
DMART,54.18,2024-09-06,No
DRREDDY,70.28,2024-09-06,No
EICHERMOT,57.43,2024-09-06,No
ETHOSLTD,45.46,2024-09-06,No
EXIDEIND,42.27,2024-09-06,No
FINEORG,26.98,2024-09-06,No
GMMPFAUDLR,66.71,2024-09-06,No
GODREJPROP,63.62,2024-09-06,No
GREENLAM,47.54,2024-09-06,No
GREENPANEL,49.33,2024-09-06,No
GRSE,37.86,2024-09-06,No
HAL,45.67,2024-09-06,No
HAPPSTMNDS,43.29,2024-09-06,No
HAVELLS,60.36,2024-09-06,No
HCLTECH,51.63,2024-09-06,No
HDFCAMC,65.54,2024-09-06,No
HDFCBANK,65.79,2024-09-06,No
HDFCLIFE,63.01,2024-09-06,No
HERITGFOOD,57.93,2024-09-06,No
HEROMOTOCO,56.37,2024-09-06,No
HINDUNILVR,52.55,2024-09-06,No
HLEGLAS,49.36,2024-09-06,No
HNDFDS,53.47,2024-09-06,No
ICICIBANK,52.87,2024-09-06,No
ICICIGI,70.17,2024-09-06,No
ICICIPRULI,51.36,2024-09-06,No
IDEAFORGE,52.85,2024-09-06,No
IDFCFIRSTB,53.19,2024-09-06,No
INDIGO,57.28,2024-09-06,No
INFY,50.22,2024-09-06,No
IRCON,39.14,2024-09-06,No
IRCTC,53.39,2024-09-06,No
IREDA,41.74,2024-09-06,No
ITC,52.13,2024-09-06,No
JIOFIN,46.16,2024-09-06,No
JUBLFOOD,35.82,2024-09-06,No
KALYANKJIL,31.12,2024-09-06,No
KAYNES,37.86,2024-09-06,No
KEI,59.59,2024-09-06,No
KOTAKBANK,59.42,2024-09-06,No
KPIGREEN,-1,Err,Err
KPITTECH,63.13,2024-09-06,No
LALPATHLAB,49.82,2024-09-06,No
LT,65.82,2024-09-06,No
LTIM,35.93,2024-09-06,No
LTTS,26.7,2024-09-06,No
LXCHEM,28.81,2024-09-06,No
MANKIND,64.75,2024-09-06,No
MARICO,23.65,2024-09-06,No
MARUTI,63.99,2024-09-06,No
MAZDOCK,17.97,2024-09-06,No
METROBRAND,47.86,2024-09-06,No
MTARTECH,53.33,2024-09-06,No
MUFTI,56.65,2024-09-06,No
MUTHOOTFIN,55.06,2024-09-06,No
NAUKRI,52.35,2024-09-06,No
NAVINFLUOR,47.72,2024-09-06,No
NAZARA,46.69,2024-09-06,No
NEOGEN,60.77,2024-09-06,No
