Stock Symbol;Delivery to Trade Percentage;Date;High Delivery
AARTIDRUGS;48.53;2024-09-05;No
AARTIIND;54.57;2024-09-05;No
AARTIPHARM;50.88;2024-09-05;No
AARTISURF;90.82;2024-09-05;Yes
ABB;53.38;2024-09-05;No
ACC;24.76;2024-09-05;No
AFFLE;52.32;2024-09-05;No
ALKYLAMINE;44.38;2024-09-05;No
ANGELONE;45.21;2024-09-05;Yes
ASAHIINDIA;23.41;2024-09-05;No
ASHOKLEY;62.75;2024-09-05;No
ASIANPAINT;60.01;2024-09-05;No
ASTRAL;70.08;2024-09-05;No
AXISBANK;67.45;2024-09-05;No
BAJAJ-AUTO;65.93;2024-09-05;No
BAJAJELEC;54.24;2024-09-05;No
BAJAJFINSV;52.65;2024-09-05;No
BAJFINANCE;43.7;2024-09-05;No
BALAMINES;40.83;2024-09-05;No
BATAINDIA;68.92;2024-09-05;No
BEL;54.81;2024-09-05;No
BERGEPAINT;45.84;2024-09-05;No
BHARTIARTL;60.5;2024-09-05;No
BOROLTD;61.99;2024-09-05;Yes
BRITANNIA;47.03;2024-09-05;No
BSE;55.43;2024-09-05;No
CAMPUS;65.39;2024-09-05;No
CAMS;63.09;2024-09-05;No
CDSL;45.99;2024-09-05;No
CENTUM;44.88;2024-09-05;No
CGPOWER;70.82;2024-09-05;No
COCHINSHIP;26.2;2024-09-05;No
COFORGE;38.25;2024-09-05;No
CONCOR;71.08;2024-09-05;Yes
CYIENT;62.75;2024-09-05;No
DABUR;64.36;2024-09-05;No
DEEPAKNTR;34.03;2024-09-05;No
DIVISLAB;55.96;2024-09-05;No
DIXON;42.43;2024-09-05;No
DMART;49.75;2024-09-05;No
DRREDDY;65.96;2024-09-05;No
EICHERMOT;68.47;2024-09-05;No
ETHOSLTD;44.93;2024-09-05;No
EXIDEIND;32.29;2024-09-05;No
FINEORG;44.36;2024-09-05;No
GMMPFAUDLR;65.5;2024-09-05;No
GODREJPROP;58.98;2024-09-05;No
GREENLAM;44.13;2024-09-05;No
GREENPANEL;55.76;2024-09-05;No
GRSE;31.59;2024-09-05;No
HAL;53.15;2024-09-05;No
HAPPSTMNDS;62.31;2024-09-05;No
