Stock Symbol;Delivery to Trade Percentage;Date;High Delivery
AARTIDRUGS;53.31;2024-07-16;No
AARTIIND;46.04;2024-07-16;No
AARTIPHARM;63.88;2024-07-16;No
AARTISURF;60.98;2024-07-16;Yes
ABB;58.11;2024-07-16;Yes
ACC;50.54;2024-07-16;No
AFFLE;55.83;2024-07-16;Yes
ALKYLAMINE;50.78;2024-07-16;No
ANGELONE;36.96;2024-07-16;No
ASAHIINDIA;55.01;2024-07-16;No
ASHOKLEY;48.09;2024-07-16;No
ASIANPAINT;58.56;2024-07-16;No
ASTRAL;35.88;2024-07-16;No
AXISBANK;54.24;2024-07-16;No
BAJAJ-AUTO;21.12;2024-07-16;No
BAJAJELEC;43.96;2024-07-16;No
BAJAJFINSV;58.83;2024-07-16;No
BAJFINANCE;45.41;2024-07-16;No
BALAMINES;42.1;2024-07-16;No
BATAINDIA;35.63;2024-07-16;No
BEL;56.21;2024-07-16;No
BERGEPAINT;51.81;2024-07-16;No
BHARTIARTL;54.62;2024-07-16;No
BOROLTD;28.92;2024-07-16;No
BRITANNIA;42.48;2024-07-16;No
BSE;60.85;2024-07-16;No
CAMPUS;35.64;2024-07-16;No
CAMS;30.97;2024-07-16;No
CDSL;46.95;2024-07-16;No
CENTUM;39.11;2024-07-16;No
CGPOWER;67.77;2024-07-16;No
COCHINSHIP;35.54;2024-07-16;No
COFORGE;44.49;2024-07-16;No
CONCOR;63.88;2024-07-16;No
CYIENT;59.96;2024-07-16;No
DABUR;37.34;2024-07-16;No
DEEPAKNTR;38.95;2024-07-16;No
DIVISLAB;65.88;2024-07-16;No
DIXON;40.8;2024-07-16;No
DMART;74.03;2024-07-16;No
DRREDDY;49.67;2024-07-16;No
EICHERMOT;70.8;2024-07-16;No
ETHOSLTD;48.41;2024-07-16;No
EXIDEIND;36.47;2024-07-16;No
FINEORG;46.93;2024-07-16;No
GMMPFAUDLR;55.39;2024-07-16;No
GODREJPROP;35.19;2024-07-16;No
GREENLAM;48.77;2024-07-16;No
GREENPANEL;62.02;2024-07-16;No
GRSE;26.79;2024-07-16;No
HAL;50.22;2024-07-16;No
HAPPSTMNDS;28.33;2024-07-16;No
